                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60117,                 1.5361,                  1.161,                0.90896,                      1,                0.98019,                 0.8133,                0.48175,                 1.9701,                 0.9859,                0.00042,                0.00042,                0.00042
                      2,                0.37478,                0.48337,                0.96884,                0.99688,                      1,                  0.995,                0.89759,                0.56065,                 1.3338,                 1.1617,              0.0008583,              0.0008583,              0.0008583
                      3,                0.43174,                0.45667,                 1.0041,                0.99528,                      1,                  0.995,                0.91291,                0.40398,                0.93378,                0.83989,              0.0012949,              0.0012949,              0.0012949
                      4,                0.46384,                0.45538,                 1.0126,                0.54701,                0.95238,                0.77819,                0.77819,                0.46449,                 3.8945,                0.89295,              0.0017297,              0.0017297,              0.0017297
                      5,                0.47885,                0.46144,                 1.0146,                0.20048,                0.80952,                0.21726,                0.11052,                 1.2329,                 6.0323,                 1.1994,              0.0019842,              0.0019842,              0.0019842
                      6,                0.44936,                0.39826,                  1.014,                0.55412,                      1,                0.86722,                0.55584,                 0.6303,                 1.4545,                0.99046,              0.0019802,              0.0019802,              0.0019802
                      7,                0.44516,                0.42002,                 0.9924,                0.55412,                      1,                0.86722,                0.55584,                 5.3404,                 11.638,                 6.7534,              0.0019762,              0.0019762,              0.0019762
                      8,                0.41444,                 0.3913,                0.99522,                0.99635,                      1,                  0.995,                0.98992,                 0.4193,                0.54111,                0.88601,              0.0019723,              0.0019723,              0.0019723
                      9,                0.40189,                 0.3776,                0.98368,                0.49864,                      1,                 0.4975,                0.43901,                0.52204,                 2.0814,                 1.0255,              0.0019683,              0.0019683,              0.0019683
                     10,                0.40429,                   0.36,                0.96909,                0.99635,                      1,                  0.995,                  0.995,                0.22462,                0.46397,                0.70003,              0.0019644,              0.0019644,              0.0019644
                     11,                0.38601,                0.35007,                0.96372,                0.99381,                      1,                  0.995,                0.98924,                0.33848,                0.49811,                0.80275,              0.0019604,              0.0019604,              0.0019604
                     12,                 0.3606,                0.33011,                0.96227,                0.99536,                      1,                  0.995,                0.97751,                0.23003,                0.48458,                0.69871,              0.0019564,              0.0019564,              0.0019564
                     13,                0.34425,                0.32039,                0.94263,                0.79927,                      1,                  0.957,                0.79859,                0.38315,                 1.2061,                0.77349,              0.0019525,              0.0019525,              0.0019525
                     14,                0.35972,                0.31261,                0.94848,                 0.9956,                      1,                  0.995,                  0.995,                 0.3461,                0.40478,                0.73465,              0.0019485,              0.0019485,              0.0019485
                     15,                 0.3584,                0.29452,                 0.9604,                0.99261,                      1,                  0.995,                  0.995,                0.27559,                0.48099,                0.72313,              0.0019446,              0.0019446,              0.0019446
                     16,                0.34772,                0.31116,                0.94039,                0.67287,                0.47619,                0.54232,                0.37337,                 1.1345,                 1.7639,                 1.2415,              0.0019406,              0.0019406,              0.0019406
                     17,                0.35226,                0.30481,                0.95858,                 0.9695,                      1,                  0.995,                  0.995,                0.50055,                0.79484,                0.87556,              0.0019366,              0.0019366,              0.0019366
                     18,                0.34513,                0.29282,                0.93984,                0.99577,                      1,                  0.995,                  0.995,                0.21443,                0.61721,                 0.6512,              0.0019327,              0.0019327,              0.0019327
                     19,                0.31943,                0.28233,                 0.9352,                0.99618,                      1,                  0.995,                  0.995,                0.17022,                0.30345,                0.64519,              0.0019287,              0.0019287,              0.0019287
                     20,                0.34833,                  0.308,                0.94783,                0.99631,                      1,                  0.995,                  0.995,                0.26492,                0.40376,                0.67309,              0.0019248,              0.0019248,              0.0019248
                     21,                0.32699,                 0.2947,                 0.9371,                0.99451,                      1,                  0.995,                  0.995,                0.19046,                0.61264,                0.68544,              0.0019208,              0.0019208,              0.0019208
                     22,                0.31901,                0.29363,                0.92313,                0.99421,                      1,                  0.995,                  0.995,                0.23024,                 0.6476,                0.70709,              0.0019168,              0.0019168,              0.0019168
                     23,                0.34481,                0.29561,                0.94578,                0.99695,                      1,                  0.995,                  0.995,                0.26895,                0.28831,                 0.7215,              0.0019129,              0.0019129,              0.0019129
                     24,                0.30916,                0.26281,                0.92796,                0.99648,                      1,                  0.995,                  0.995,                0.22537,                0.29351,                0.64595,              0.0019089,              0.0019089,              0.0019089
                     25,                0.31548,                0.25749,                0.92893,                0.99607,                      1,                  0.995,                  0.995,                0.16423,                0.26844,                0.62142,               0.001905,               0.001905,               0.001905
                     26,                0.33379,                0.27686,                0.93236,                0.99327,                      1,                  0.995,                  0.995,                0.15748,                0.41354,                0.61996,               0.001901,               0.001901,               0.001901
                     27,                0.32483,                0.27823,                0.93134,                 0.9833,                      1,                  0.995,                  0.995,                0.21464,                0.83883,                0.62822,               0.001897,               0.001897,               0.001897
                     28,                0.30574,                0.25978,                0.93166,                0.99534,                      1,                  0.995,                  0.995,                0.19917,                0.65358,                0.66194,              0.0018931,              0.0018931,              0.0018931
                     29,                0.29885,                0.24985,                0.91833,                 0.9967,                      1,                  0.995,                  0.995,                0.25142,                0.34762,                0.68961,              0.0018891,              0.0018891,              0.0018891
                     30,                0.32535,                 0.2703,                0.93521,                0.99729,                      1,                  0.995,                  0.995,                0.15733,                0.20993,                0.62206,              0.0018852,              0.0018852,              0.0018852
                     31,                0.31285,                0.25187,                0.93192,                0.99745,                      1,                  0.995,                  0.995,                0.18604,                0.22598,                 0.6205,              0.0018812,              0.0018812,              0.0018812
                     32,                0.31057,                0.25918,                0.92396,                 0.9938,                      1,                  0.995,                  0.995,                0.18493,                0.34994,                0.63245,              0.0018772,              0.0018772,              0.0018772
                     33,                0.31529,                0.26521,                0.93625,                0.99498,                      1,                  0.995,                  0.995,                0.20266,                0.47942,                0.65533,              0.0018733,              0.0018733,              0.0018733
                     34,                0.30983,                0.27355,                0.92278,                 0.9962,                      1,                  0.995,                  0.995,                0.21726,                0.50837,                0.67442,              0.0018693,              0.0018693,              0.0018693
                     35,                0.32133,                0.25889,                 0.9268,                0.99118,                      1,                  0.995,                  0.995,                0.23511,                 1.0296,                0.68064,              0.0018654,              0.0018654,              0.0018654
                     36,                0.29016,                 0.2458,                0.92445,                0.99714,                      1,                  0.995,                  0.995,                0.16247,                  0.243,                 0.6078,              0.0018614,              0.0018614,              0.0018614
                     37,                0.29865,                 0.2468,                0.91739,                0.99573,                      1,                  0.995,                  0.995,                0.15904,                0.52552,                0.61863,              0.0018574,              0.0018574,              0.0018574
                     38,                0.27636,                0.23376,                0.91817,                0.99748,                      1,                  0.995,                  0.995,                0.16974,                0.16186,                0.59178,              0.0018535,              0.0018535,              0.0018535
                     39,                 0.2891,                0.23217,                0.91711,                 0.9922,                      1,                  0.995,                  0.995,                0.30953,                0.65909,                0.75075,              0.0018495,              0.0018495,              0.0018495
                     40,                0.29562,                0.24396,                0.91867,                0.99514,                      1,                  0.995,                  0.995,                0.30706,                0.34999,                0.70229,              0.0018456,              0.0018456,              0.0018456
